N,M,S,T
20,4,1,0.0299196
20,4,2,0.0638187
20,4,3,0.0075029
20,4,4,0.0178026
20,4,5,0.00961595
20,4,6,0.0610646
20,4,7,0.0234762
20,4,8,0.00802123
20,4,9,0.00677611
20,4,10,0.0156127
25,4,1,0.152536
25,4,2,0.285643
25,4,3,0.121464
25,4,4,0.0802823
25,4,5,0.0850843
25,4,6,0.844391
25,4,7,0.416508
25,4,8,0.0965618
25,4,9,0.100994
25,4,10,0.109491
30,4,1,1.0529
30,4,2,1.50847
30,4,3,0.545277
30,4,4,0.31523
30,4,5,0.646722
30,4,6,2.66924
30,4,7,4.96917
30,4,8,0.991169
30,4,9,3.4446
30,4,10,0.718828
35,4,1,9.73208
35,4,2,19.3113
35,4,3,3.47359
35,4,4,2.10358
35,4,5,5.81521
35,4,6,18.0137
35,4,7,111.942
35,4,8,3.31969
35,4,9,33.8794
35,4,10,5.89341
40,4,1,83.3255
40,4,2,116.532
40,4,3,30.8541
40,4,4,7.41849
40,4,5,20.4841
40,4,6,296.514
40,4,7,1983.2
40,4,8,10.072
40,4,9,298.668
40,4,10,24.748
45,4,1,405.302
45,4,2,519.582
45,4,3,194.259
45,4,4,29.316
45,4,5,74.3308
45,4,6,1938.47
45,4,7,9448.87
45,4,8,53.3886
45,4,9,2117.44
45,4,10,345.945
50,4,1,1944.31
50,4,2,2012.02
50,4,3,596.47
50,4,4,64.705
50,4,5,267.508
50,4,6,3280.9
50,4,7,32095.8
50,4,8,170.763
50,4,9,12481.7
50,4,10,2402.46
70,4,1,201328
70,4,2,169946
70,4,3,36434.7
70,4,4,6659.34
70,4,5,59625.4

